SA2 Code,SA2 Label,Diabetes (%) All ages,Diabetes (%) 60 years and over,Diabetes (%) 70 years and over
128011529,Gymea - Grays Point,3.8,11.1,12.8
301021008,Ormiston,4.6,11.1,12.8
316021420,Caloundra - West,3.7,11.2,12.8
602011043,Norwood (Tas.),4.7,11.2,12.8
217031471,Camperdown,5.1,11.2,12.8
401071023,Goodwood - Millswood,3.6,10.1,12.9
211051282,Mount Dandenong - Olinda,3.9,10.1,12.9
314011384,Dayboro,3.6,10.3,12.9
201021012,Gordon (Vic.),3.9,10.3,12.9
403031068,Colonel Light Gardens,3.4,10.4,12.9
211051276,Healesville - Yarra Glen,4,10.5,12.9
205011077,Mount Baw Baw Region,4.6,10.6,12.9
217031476,Otway,5.2,10.6,12.9
801051057,Lyneham,3.5,10.7,12.9
205011078,Trafalgar (Vic.),4.1,10.7,12.9
602011051,West Launceston,3.8,10.8,12.9
503021042,Subiaco - Shenton Park,3.9,10.8,12.9
110011186,Armidale,3.9,11,12.9
214021382,Mount Martha,4.1,11,12.9
128011603,Caringbah South,4.1,11.1,12.9
211031450,Croydon - East,3.7,11.2,12.9
602011039,Legana,4.2,11.2,12.9
305021113,Balmoral,2.7,9.9,13
112031551,Terranora - North Tumblegum,3.7,10.3,13
211051286,Yarra Valley,3.7,10.3,13
507041184,Winthrop,4.1,10.4,13
305021117,Morningside - Seven Hills,2.5,10.5,13
204021067,Wangaratta Region,4.5,10.5,13
305031130,Windsor,2.5,10.6,13
112031250,Kingscliff - Fingal Head,4.4,10.8,13
211051277,Kilsyth,3.8,11,13
204011062,Yea,5.4,11,13
309031239,Paradise Point - Hollywell,5.3,11.1,13
303011047,Camp Hill,2.9,11.2,13
101031014,Cooma,4.5,11.2,13
303011049,Carina,3.5,11.5,13
128011531,Sylvania - Taren Point,4.6,11.7,13
211051274,Belgrave - Selby,3.2,9.8,13.1
314011385,Eatons Hill,2.8,10.2,13.1
204021064,Benalla Region,4.8,10.2,13.1
314011383,Cashmere,2.6,10.4,13.1
305011109,New Farm,3.5,10.5,13.1
211051279,Monbulk - Silvan,3.8,10.5,13.1
305031131,Wooloowin - Lutwyche,2.7,10.6,13.1
204011060,Seymour Region,3.7,10.6,13.1
309081262,Varsity Lakes,3,10.7,13.1
122031429,Freshwater - Brookvale,3,10.8,13.1
109011175,Albury Region,4.1,10.8,13.1
126011495,Epping - North Epping,3.6,11,13.1
126011496,Pennant Hills - Cheltenham,4,11,13.1
122031426,Dee Why - North Curl Curl,3.2,11.1,13.1
214021379,Hastings - Somers,4.3,11.1,13.1
602011049,Trevallyn,3.9,11.3,13.1
217031472,Colac,4.2,11.3,13.1
204021063,Benalla,5.1,11.3,13.1
211031266,Ringwood,3.7,11.4,13.1
128011602,Caringbah,3.8,11.5,13.1
602011044,Prospect Vale - Blackstone,4.6,11.5,13.1
122031427,Forestville - Killarney Heights,3.9,11.6,13.1
602011042,Newstead,4.2,11.6,13.1
506051141,Lesmurdie - Bickley - Carmel,4.4,11.7,13.1
109031182,Deniliquin,4.9,11.7,13.1
211051284,Upwey - Tecoma,3.2,9.9,13.2
115031300,Kurrajong Heights - Ebenezer,3.4,10.4,13.2
505011075,Hillarys,3.8,10.4,13.2
305031127,Newmarket,2.7,10.6,13.2
505011071,Currambine - Kinross,3,10.6,13.2
505011070,Craigie - Beldon,3.1,10.6,13.2
211051280,Montrose,3.5,10.6,13.2
305021115,East Brisbane,2.8,10.7,13.2
121011399,Chatswood (West) - Lane Cove North,3,10.8,13.2
503021043,Wembley - West Leederville - Glendalough,3.2,10.8,13.2
211051275,Chirnside Park,3.7,10.8,13.2
309041241,Guanaba - Springbrook,4.4,10.8,13.2
204021065,Rutherglen,4.6,10.9,13.2
122031432,Terrey Hills - Duffys Forest,3.9,11,13.2
504021050,Glen Forrest - Darlington,4.3,11,13.2
204011055,Euroa,5.7,11.1,13.2
217031474,Corangamite - North,4.9,11.2,13.2
214021377,Dromana,5.4,11.3,13.2
304041101,Mitchelton,3.1,11.4,13.2
507041183,Willagee,3.5,11.4,13.2
401011001,Adelaide,3.6,11.4,13.2
506051138,Forrestfield - Wattle Grove,3.5,11.7,13.2
112031552,Tweed Heads South,6.1,11.7,13.2
203011036,Winchelsea,3.8,10.2,13.3
305011107,Highgate Hill,3,10.5,13.3
101021011,Queanbeyan Region,3.4,10.5,13.3
505011077,Joondalup - Edgewater,3.4,10.5,13.3
202011024,Strathfieldsaye,3.2,10.6,13.3
301021011,Sheldon - Mount Cotton,2.8,10.7,13.3
304041104,Upper Kedron - Ferny Grove,3,10.7,13.3
304011081,Jindalee - Mount Ommaney,3.9,10.8,13.3
309061250,Worongary - Tallai,4.1,10.9,13.3
505011082,Sorrento - Marmion,4.5,10.9,13.3
118011339,Bondi - Tamarama - Bronte,3.1,11,13.3
307031184,Clifton - Greenmount,4.7,11.2,13.3
205031087,Foster,5.5,11.2,13.3
