SA2 Code,SA2 Label,Heart stroke vascular (%) All ages,Heart stroke vascular (%) 60 years and over,Heart stroke vascular (%) 70 years and over
126021498,Gladesville - Huntleys Point,NA,NA,20.2
203031050,Ocean Grove - Barwon Heads,NA,NA,20.2
602021054,Deloraine,NA,NA,20.2
316051435,Noosaville,NA,NA,20.2
506051139,High Wycombe,NA,NA,20.2
509021240,Merredin,NA,NA,20.2
207021157,Doncaster,NA,NA,20.2
404011096,West Lakes,NA,15.2,20.3
302041041,Bracken Ridge,NA,NA,20.3
310021282,Rosewood,NA,NA,20.3
506071145,Como,NA,NA,20.3
208011169,Brighton (Vic.),NA,NA,20.3
202021027,Castlemaine,NA,NA,20.3
102011042,Woy Woy - Blackwall,NA,NA,20.3
401041015,Paradise - Newton,NA,15.8,20.4
309071258,Upper Coomera - Willow Vale,NA,NA,20.4
206051130,Port Melbourne,NA,NA,20.4
128021536,Oyster Bay - Como - Jannali,NA,NA,20.4
507041175,Applecross - Ardross,NA,NA,20.4
404031108,Richmond (SA),NA,NA,20.4
316011413,Buderim - North,NA,NA,20.4
402031037,Northgate - Oakden - Gilles Plains,NA,NA,20.4
309031237,Coombabah,NA,NA,20.4
407011144,Goolwa - Port Elliot,NA,NA,20.4
509011225,Albany,NA,NA,20.4
208011173,Sandringham - Black Rock,NA,15.2,20.5
126021503,West Ryde - Meadowbank,NA,NA,20.5
115011558,Cherrybrook,NA,NA,20.5
112011237,Ballina Region,NA,NA,20.5
506031129,Riverton - Shelley - Rossmoyne,NA,NA,20.5
604021091,Sheffield - Railton,NA,15.1,20.6
801071082,Kambah,NA,15.3,20.6
203021037,Belmont,NA,16.3,20.6
503021041,Perth City,NA,NA,20.6
505031098,Alexander Heights - Koondoola,NA,NA,20.6
402051051,Highbury - Dernancourt,NA,NA,20.6
204031069,Bright - Mount Beauty,NA,NA,20.6
506041134,Gosnells,NA,NA,20.6
317011446,Darling Heights,NA,NA,20.6
207021160,Templestowe Lower,NA,NA,20.6
302011023,Bridgeman Downs,NA,15.1,20.7
509021242,Mukinbudin,5.6,15.7,20.7
319041518,Pialba - Eli Waters,NA,17.1,20.7
112031250,Kingscliff - Fingal Head,NA,NA,20.7
118021350,Malabar - La Perouse - Chifley,NA,NA,20.7
403031067,Blackwood,NA,NA,20.7
101041025,Merimbula - Tura Beach,NA,NA,20.7
506041137,Thornlie,NA,15.7,20.8
507021165,Fremantle,NA,NA,20.8
506031131,Willetton,NA,NA,20.8
309071255,Ormeau - Yatala,NA,NA,20.8
309061246,Carrara,NA,NA,20.8
207031163,Box Hill,NA,NA,20.8
401061022,Walkerville,NA,NA,20.8
208011168,Beaumaris,NA,NA,20.8
504021054,Swan View - Greenmount - Midvale,NA,NA,20.8
211041270,Mitcham (Vic.),NA,NA,20.8
211031266,Ringwood,NA,NA,20.8
217041480,Warrnambool - South,NA,NA,20.8
505021097,Yokine - Coolbinia - Menora,NA,16.2,20.9
313011363,Bribie Island,9.6,17,20.9
309081262,Varsity Lakes,NA,NA,20.9
205031089,Korumburra,NA,NA,20.9
208021176,Carnegie,NA,NA,20.9
207031164,Box Hill North,NA,NA,20.9
316021417,Aroona - Currimundi,NA,NA,20.9
501021005,Australind - Leschenault,NA,NA,20.9
211041273,Vermont South,NA,NA,20.9
217011422,Portland,NA,NA,20.9
205021082,Bruthen - Omeo,NA,NA,20.9
211031267,Ringwood East,NA,NA,20.9
114021284,Bowral,NA,NA,20.9
405041125,Moonta,NA,16.3,21
316031425,Coolum Beach,NA,NA,21
601051028,Lenah Valley - Mount Stuart,NA,NA,21
125021476,Carlingford,NA,NA,21
110021194,Tenterfield,NA,NA,21
208021178,Caulfield - South,NA,NA,21
115011290,Baulkham Hills (East),NA,NA,21
304041100,Keperra,NA,NA,21
316071547,Eumundi - Yandina,NA,NA,21.1
503021039,Mount Lawley - Inglewood,NA,NA,21.1
119031369,Mortdale - Penshurst,NA,NA,21.1
118021348,Coogee - Clovelly,NA,NA,21.1
506031127,Cannington - Queens Park,NA,NA,21.1
301021009,Redland Bay,NA,NA,21.1
403041072,Aldinga,NA,NA,21.1
209011202,Montmorency - Briar Hill,NA,NA,21.1
407011149,Yankalilla,NA,NA,21.1
505021090,Nollamara - Westminster,NA,NA,21.1
302031035,Boondall,NA,NA,21.1
317011456,Toowoomba - Central,NA,NA,21.1
211041272,Vermont,NA,NA,21.1
211041269,Forest Hill,NA,NA,21.1
207031166,Burwood East,NA,NA,21.1
207011147,Balwyn,NA,16.2,21.2
505021096,Wembley Downs - Churchlands - Woodlands,NA,16.6,21.2
404011091,Flinders Park,NA,16.8,21.2
126011495,Epping - North Epping,NA,NA,21.2
