SA2 Code,SA2 Label,Three or more chronic (%) All ages,Three or more chronic (%) 60 years and over,Three or more chronic (%) 70 years and over
122031426,Dee Why - North Curl Curl,5,18,22.5
801051053,Civic,5.8,18.3,22.5
403031067,Blackwood,7.5,19.6,22.5
501031017,Bridgetown - Boyup Brook,10.7,20.6,22.5
301021011,Sheldon - Mount Cotton,4.9,17.6,22.6
302011026,McDowall,5.9,17.8,22.6
128011603,Caringbah South,6.5,18.5,22.6
506051141,Lesmurdie - Bickley - Carmel,7.4,18.9,22.6
316081549,Noosa Hinterland,9.2,19.6,22.6
405011110,Barossa - Angaston,9.3,20.7,22.6
105011095,Nyngan - Warren,9.7,21.4,22.6
217031473,Colac Region,10.8,21.8,22.6
701031032,Humpty Doo,5.8,17.7,22.7
122031430,Manly Vale - Allambie Heights,4.8,17.9,22.7
121021404,Berowra - Brooklyn - Cowan,5.8,18.2,22.7
305031131,Wooloowin - Lutwyche,4.8,18.3,22.7
403031069,Mitcham (SA),7.1,18.8,22.7
401021006,Lobethal - Woodside,8.4,19.7,22.7
128021535,Menai - Lucas Heights - Woronora,5.7,17,22.8
506071146,Manning - Waterford,6,18.1,22.8
112011238,Bangalow,8.3,18.8,22.8
304041104,Upper Kedron - Ferny Grove,5.6,18.9,22.8
212051324,Mount Waverley - South,6.1,18.9,22.8
128021608,Loftus - Yarrawarrah,6.7,19.2,22.8
801061070,Yarralumla,9.3,19.2,22.8
125041494,Winston Hills,6.1,19.5,22.8
309101270,Surfers Paradise,7.8,19.8,22.8
405041128,Yorke Peninsula - South,13.4,22.2,22.8
122031429,Freshwater - Brookvale,4.5,17.5,22.9
119031371,Oatley - Hurstville Grove,6,17.9,22.9
504031068,The Vines,5.2,18.4,22.9
305011106,Fortitude Valley,3.9,18.8,22.9
505011073,Greenwood - Warwick,7.1,19,22.9
601051029,Mount Nelson - Dynnyrne,7.1,19.1,22.9
207031161,Blackburn,6.1,19.2,22.9
501031018,Donnybrook - Balingup,10,19.9,22.9
207011148,Balwyn North,5.9,18,23
206051129,Elwood,5.2,18.1,23
118021570,Randwick - South,4.7,18.2,23
505011077,Joondalup - Edgewater,6,18.4,23
314011386,The Hills District,5.8,18.5,23
207031164,Box Hill North,6.1,19,23
801051124,Campbell,6.9,19.2,23
112021249,Lismore Region,9.9,19.5,23
217011423,Southern Grampians,10.2,20.1,23
405011112,Lyndoch,8.3,21,23
114021287,Moss Vale - Berrima,9.3,21.1,23
405041127,Yorke Peninsula - North,12.6,22,23
304031092,Chelmer - Graceville,5.2,18,23.1
115011290,Baulkham Hills (East),5.3,18.1,23.1
115021298,Galston - Laughtondale,7.2,19,23.1
504021050,Glen Forrest - Darlington,7.9,19.4,23.1
207031166,Burwood East,7.1,19.7,23.1
316071546,Diddillibah - Rosemount,9.3,20.9,23.1
