SA2 Code,SA2 Label,Asthma (%) All ages,Asthma (%) 60 years and over,Asthma (%) 70 years and over
120021387,Balmain,8.5,9.6,9.9
117031335,Redfern - Chippendale,6.8,9.7,9.9
305021116,Hawthorne,8.6,9.7,9.9
208031183,Aspendale Gardens - Waterways,9.3,9.7,9.9
125011582,Auburn - Central,7.3,9.8,9.9
212051320,Clayton,6.2,9.9,9.9
401061020,Nailsworth - Broadview,8.4,9.9,9.9
503011034,Mosman Park - Peppermint Grove,8.7,9.9,9.9
801091099,Chifley,9.1,9.9,9.9
124011454,Springwood - Winmalee,10.3,9.9,9.9
122031431,Narrabeen - Collaroy,8.9,10,9.9
122031425,Cromer,9.1,10,9.9
206051134,St Kilda East,8.8,10.1,9.9
122021420,Avalon - Palm Beach,9.5,10.1,9.9
118011346,Rose Bay - Vaucluse - Watsons Bay,9.7,10.1,9.9
112011242,Lennox Head - Skennars Head,9.9,10.1,9.9
209031213,Plenty - Yarrambat,10.2,10.1,9.9
206011106,Brunswick East,9.1,10.2,9.9
127011594,Green Valley,9.7,10.2,9.9
127011593,Cecil Hills,10.1,10.2,9.9
127011597,West Hoxton - Middleton Grange,10.2,10.3,9.9
318021468,Annandale,10,10.5,9.9
313031371,Woodford - D'Aguilar,10.8,10.5,9.9
213041360,Taylors Hill,8.3,9.4,10
127031524,Holsworthy - Wattle Grove,8.2,9.5,10
303041069,Robertson,6.9,9.7,10
207021160,Templestowe Lower,8.6,9.7,10
211021262,Warrandyte - Wonga Park,9.6,9.7,10
117031336,Surry Hills,6.9,9.8,10
505021092,Scarborough,8.1,9.9,10
122031430,Manly Vale - Allambie Heights,8.9,10,10
401051019,St Peters - Marden,8.9,10,10
505021094,Trigg - North Beach - Watermans Bay,9.2,10,10
123011433,Camden - Ellis Lane,9.9,10,10
101031016,Jindabyne - Berridale,10.6,10.1,10
303021057,Holland Park West,8.5,10.2,10
208021426,Bentleigh East (North),9.1,10.2,10
208021180,Hughesdale,8.4,10.3,10
504021049,Chidlow,10.2,10.5,10
801011026,Weetangera,10.5,10.6,10
117031338,Waterloo - Beaconsfield,6.4,9.8,10.1
125041491,Northmead,6.4,9.8,10.1
121031407,Gordon - Killara,8.4,9.8,10.1
206011109,Pascoe Vale South,9.7,9.9,10.1
401031013,Toorak Gardens,8.3,10,10.1
119021362,Belmore - Belfield,8.8,10,10.1
128011530,Miranda - Yowie Bay,8.8,10,10.1
404031109,West Beach,9,10,10.1
507021164,East Fremantle,9.8,10.1,10.1
128021533,Heathcote - Waterfall,10,10.1,10.1
305031121,Ascot,8.6,10.2,10.1
213031350,Seddon - Kingsville,9.3,10.3,10.1
304031096,St Lucia,7.3,10.4,10.1
209021429,Preston - West,9.4,10.4,10.1
124051469,Erskine Park,10.9,10.6,10.1
403041077,Flagstaff Hill,9.7,10.9,10.1
115041301,Pitt Town - McGraths Hill,9.5,9.5,10.2
125011583,Auburn - North,6.5,9.8,10.2
505031103,Madeley - Darch - Landsdale,8.1,9.8,10.2
212051322,Glen Waverley - West,7.6,9.9,10.2
124031465,Warragamba - Silverdale,9.7,9.9,10.2
503011035,Nedlands - Dalkeith - Crawley,8.9,10.1,10.2
208031188,Cheltenham - Highett (East),9.4,10.3,10.2
107041147,Helensburgh,10.4,10.3,10.2
504031057,Beechboro,8.9,10.5,10.2
208021427,Bentleigh East (South),9.6,10.5,10.2
304011084,Seventeen Mile Rocks - Sinnamon Park,9.8,10.5,10.2
401061021,Prospect,9.4,10.7,10.2
119021573,Lakemba,7.5,10,10.3
